frame_id,x,y,visibility,orig_width,orig_height
0,1281,592,1,1920,1080
1,1300,595,1,1920,1080
2,1321,601,1,1920,1080
3,1341,606,1,1920,1080
4,1361,614,1,1920,1080
5,1382,623,1,1920,1080
6,1403,633,1,1920,1080
7,1422,645,1,1920,1080
8,1443,658,1,1920,1080
9,1465,672,1,1920,1080
10,1486,688,1,1920,1080
57,823,326,1,1920,1080
58,824,339,1,1920,1080
59,824,353,1,1920,1080
60,824,368,1,1920,1080
61,825,382,1,1920,1080
62,825,401,1,1920,1080
63,825,418,1,1920,1080
64,824,438,1,1920,1080
65,825,459,1,1920,1080
66,824,483,1,1920,1080
67,824,506,1,1920,1080
68,823,532,1,1920,1080
69,822,559,1,1920,1080
70,821,586,1,1920,1080
71,819,618,1,1920,1080
72,819,650,1,1920,1080
73,817,682,1,1920,1080
74,815,719,1,1920,1080
75,814,756,1,1920,1080
76,813,772,1,1920,1080
77,813,774,1,1920,1080
78,814,776,1,1920,1080
79,814,779,1,1920,1080
80,813,783,1,1920,1080
81,814,789,1,1920,1080
82,813,797,1,1920,1080
83,814,806,1,1920,1080
84,814,817,1,1920,1080
85,813,827,1,1920,1080
86,813,842,1,1920,1080
87,813,855,1,1920,1080
88,811,835,1,1920,1080
89,811,801,1,1920,1080
90,811,770,1,1920,1080
91,810,739,1,1920,1080
92,809,711,1,1920,1080
